OrderID,Segment,ProductID,Category,SubCategory,CustomeName,Product Name,Sales,Quantity,Discount,Profit
CA-2014-143336,Consumer,OFF-AR-10003056,Office Supplies,Art,Zuschuss Donatelli,Newell 341,8.56,2,0,2.4824
CA-2014-143336,Consumer,TEC-PH-10001949,Technology,Phones,Zuschuss Donatelli,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-2014-143336,Consumer,OFF-BI-10002215,Office Supplies,Binders,Zuschuss Donatelli,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
CA-2016-137330,Corporate,OFF-AR-10000246,Office Supplies,Art,Ken Black,Newell 318,19.46,7,0,5.0596
CA-2016-137330,Corporate,OFF-AP-10001492,Office Supplies,Appliances,Ken Black,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
US-2017-156909,Consumer,FUR-CH-10002774,Furniture,Chairs,Sandra Flanagan,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
CA-2015-106320,Consumer,FUR-TA-10000577,Furniture,Tables,Emily Burns,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
CA-2016-121755,Consumer,OFF-BI-10001634,Office Supplies,Binders,Eric Hoffmann,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
CA-2016-121755,Consumer,TEC-AC-10003027,Technology,Accessories,Eric Hoffmann,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
US-2015-150630,Consumer,FUR-BO-10004834,Furniture,Bookcases,Tracy Blumstein,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
US-2015-150630,Consumer,OFF-BI-10000474,Office Supplies,Binders,Tracy Blumstein,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
US-2015-150630,Consumer,FUR-FU-10004848,Furniture,Furnishings,Tracy Blumstein,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
US-2015-150630,Consumer,OFF-EN-10001509,Office Supplies,Envelopes,Tracy Blumstein,Poly String Tie Envelopes,3.264,2,0.2,1.1016
US-2015-150630,Consumer,OFF-AR-10004042,Office Supplies,Art,Tracy Blumstein,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
US-2015-150630,Consumer,OFF-BI-10001525,Office Supplies,Binders,Tracy Blumstein,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
US-2015-150630,Consumer,OFF-AR-10001683,Office Supplies,Art,Tracy Blumstein,Lumber Crayons,15.76,2,0.2,3.546
CA-2017-107727,Home Office,OFF-PA-10000249,Office Supplies,Paper,Matt Abelman,Easy-staple paper,29.472,3,0.2,9.9468
CA-2016-117590,Corporate,TEC-PH-10004977,Technology,Phones,Gene Hale,GE 30524EE4,1097.544,7,0.2,123.4737
CA-2016-117590,Corporate,FUR-FU-10003664,Furniture,Furnishings,Gene Hale,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
CA-2015-117415,Home Office,OFF-EN-10002986,Office Supplies,Envelopes,Steve Nguyen,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
CA-2015-117415,Home Office,FUR-BO-10002545,Furniture,Bookcases,Steve Nguyen,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
CA-2015-117415,Home Office,FUR-CH-10004218,Furniture,Chairs,Steve Nguyen,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
CA-2015-117415,Home Office,TEC-PH-10000486,Technology,Phones,Steve Nguyen,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
CA-2017-120999,Corporate,TEC-PH-10004093,Technology,Phones,Linda Cazamias,Panasonic Kx-TS550,147.168,4,0.2,16.5564
CA-2016-101343,Corporate,OFF-ST-10003479,Office Supplies,Storage,Ruben Ausman,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
CA-2017-139619,Corporate,OFF-ST-10003282,Office Supplies,Storage,Erin Smith,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
CA-2016-118255,Corporate,TEC-AC-10000171,Technology,Accessories,Odella Nelson,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
CA-2016-118255,Corporate,OFF-BI-10003291,Office Supplies,Binders,Odella Nelson,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
CA-2014-146703,Consumer,OFF-ST-10001713,Office Supplies,Storage,Patrick O'Donnell,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
CA-2016-169194,Consumer,TEC-AC-10002167,Technology,Accessories,Lena Hernandez,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
CA-2016-169194,Consumer,TEC-PH-10003988,Technology,Phones,Lena Hernandez,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
CA-2015-115742,Consumer,OFF-BI-10004410,Office Supplies,Binders,Darren Powers,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
CA-2015-115742,Consumer,OFF-LA-10002762,Office Supplies,Labels,Darren Powers,Avery 485,75.18,6,0,35.3346
CA-2015-115742,Consumer,FUR-FU-10001706,Furniture,Furnishings,Darren Powers,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
CA-2015-115742,Consumer,FUR-CH-10003061,Furniture,Chairs,Darren Powers,"Global Leather Task Chair, Black",89.99,1,0,17.0981
CA-2016-105816,Corporate,OFF-FA-10000304,Office Supplies,Fasteners,Janet Molinari,Advantus Push Pins,15.26,7,0,6.2566
CA-2016-105816,Corporate,TEC-PH-10002447,Technology,Phones,Janet Molinari,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
CA-2016-111682,Consumer,OFF-ST-10000604,Office Supplies,Storage,Ted Butterfield,Home/Office Personal File Carts,208.56,6,0,52.14
CA-2016-111682,Consumer,OFF-PA-10001569,Office Supplies,Paper,Ted Butterfield,Xerox 232,32.4,5,0,15.552
CA-2016-111682,Consumer,FUR-CH-10003968,Furniture,Chairs,Ted Butterfield,Novimex Turbo Task Chair,319.41,5,0.1,7.098
CA-2016-111682,Consumer,OFF-PA-10000587,Office Supplies,Paper,Ted Butterfield,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
CA-2016-111682,Consumer,TEC-AC-10002167,Technology,Accessories,Ted Butterfield,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
CA-2016-111682,Consumer,OFF-BI-10001460,Office Supplies,Binders,Ted Butterfield,Plastic Binding Combs,48.48,4,0.2,16.362
CA-2016-111682,Consumer,OFF-AR-10001868,Office Supplies,Art,Ted Butterfield,Prang Dustless Chalk Sticks,1.68,1,0,0.84
CA-2015-135545,Consumer,TEC-AC-10004633,Technology,Accessories,Kunst Miller,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
CA-2015-135545,Consumer,OFF-BI-10001078,Office Supplies,Binders,Kunst Miller,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
CA-2015-135545,Consumer,OFF-PA-10003892,Office Supplies,Paper,Kunst Miller,Xerox 1943,146.73,3,0,68.9631
CA-2015-135545,Consumer,FUR-FU-10000397,Furniture,Furnishings,Kunst Miller,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
US-2015-164175,Home Office,FUR-CH-10001146,Furniture,Chairs,Paul Stevenson,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
CA-2014-106376,Corporate,OFF-AR-10002671,Office Supplies,Art,Brendan Sweed,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
CA-2014-106376,Corporate,TEC-PH-10002726,Technology,Phones,Brendan Sweed,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
CA-2016-119823,Consumer,OFF-PA-10000482,Office Supplies,Paper,Karen Daniels,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
CA-2016-106075,Consumer,OFF-BI-10004654,Office Supplies,Binders,Henry MacAllister,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
CA-2017-114440,Consumer,OFF-PA-10004675,Office Supplies,Paper,Tracy Blumstein,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
US-2015-134026,Consumer,FUR-CH-10000513,Furniture,Chairs,Joel Eaton,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
US-2015-134026,Consumer,FUR-FU-10003708,Furniture,Furnishings,Joel Eaton,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
US-2015-134026,Consumer,OFF-ST-10004123,Office Supplies,Storage,Joel Eaton,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
US-2017-118038,Corporate,OFF-BI-10004182,Office Supplies,Binders,Ken Brennan,Economy Binders,1.248,3,0.8,-1.9344
US-2017-118038,Corporate,FUR-FU-10000260,Furniture,Furnishings,Ken Brennan,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
US-2017-118038,Corporate,OFF-ST-10000615,Office Supplies,Storage,Ken Brennan,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
US-2014-147606,Consumer,FUR-FU-10003194,Furniture,Furnishings,Joel Eaton,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
CA-2016-127208,Corporate,OFF-AP-10002118,Office Supplies,Appliances,Stewart Carmichael,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
CA-2016-127208,Corporate,OFF-BI-10002309,Office Supplies,Binders,Stewart Carmichael,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
CA-2014-139451,Consumer,OFF-AR-10002053,Office Supplies,Art,Duane Noonan,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
CA-2014-139451,Consumer,OFF-ST-10002370,Office Supplies,Storage,Duane Noonan,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
CA-2015-149734,Corporate,OFF-EN-10000927,Office Supplies,Envelopes,Julie Creighton,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
US-2017-119662,Home Office,OFF-ST-10003656,Office Supplies,Storage,Christopher Schild,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
CA-2017-140088,Consumer,FUR-CH-10000863,Furniture,Chairs,Patrick O'Donnell,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
CA-2017-155558,Consumer,TEC-AC-10001998,Technology,Accessories,Paul Gonzalez,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
CA-2017-155558,Consumer,OFF-LA-10000134,Office Supplies,Labels,Paul Gonzalez,Avery 511,6.16,2,0,2.9568
CA-2016-159695,Home Office,OFF-ST-10003442,Office Supplies,Storage,Gary Mitchum,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
CA-2016-109806,Corporate,OFF-AR-10004930,Office Supplies,Art,Jim Sink,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
CA-2016-109806,Corporate,TEC-PH-10004093,Technology,Phones,Jim Sink,Panasonic Kx-TS550,73.584,2,0.2,8.2782
CA-2016-109806,Corporate,OFF-PA-10000304,Office Supplies,Paper,Jim Sink,Xerox 1995,6.48,1,0,3.1104
CA-2015-149587,Consumer,OFF-PA-10003177,Office Supplies,Paper,Karl Braun,Xerox 1999,12.96,2,0,6.2208
CA-2015-149587,Consumer,FUR-FU-10003799,Furniture,Furnishings,Karl Braun,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
CA-2015-149587,Consumer,OFF-BI-10002852,Office Supplies,Binders,Karl Braun,Ibico Standard Transparent Covers,32.96,2,0,16.1504
US-2017-109484,Home Office,OFF-BI-10004738,Office Supplies,Binders,Roger Barcio,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
CA-2017-161018,Home Office,FUR-FU-10000629,Furniture,Furnishings,Parhena Norris,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
CA-2017-157833,Consumer,OFF-BI-10001721,Office Supplies,Binders,Katherine Ducich,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
CA-2016-149223,Corporate,OFF-AP-10000358,Office Supplies,Appliances,Elpida Rittenbach,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
CA-2016-158568,Home Office,OFF-PA-10003256,Office Supplies,Paper,Rick Bensley,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
CA-2016-158568,Home Office,TEC-AC-10001767,Technology,Accessories,Rick Bensley,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
CA-2016-158568,Home Office,OFF-BI-10002609,Office Supplies,Binders,Rick Bensley,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
CA-2016-129903,Consumer,OFF-PA-10004040,Office Supplies,Paper,Gary Zandusky,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
US-2015-156867,Consumer,TEC-AC-10001552,Technology,Accessories,Lena Cacioppo,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
US-2015-156867,Consumer,FUR-FU-10004006,Furniture,Furnishings,Lena Cacioppo,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
US-2015-156867,Consumer,OFF-BI-10002794,Office Supplies,Binders,Lena Cacioppo,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
CA-2017-119004,Consumer,TEC-AC-10003499,Technology,Accessories,Janet Martin,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
CA-2017-119004,Consumer,TEC-PH-10002844,Technology,Phones,Janet Martin,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
CA-2017-119004,Consumer,OFF-AR-10000390,Office Supplies,Art,Janet Martin,Newell Chalk Holder,3.304,1,0.2,1.0738
CA-2015-129476,Home Office,TEC-AC-10000844,Technology,Accessories,Pete Armstrong,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
CA-2017-146780,Corporate,FUR-FU-10001934,Furniture,Furnishings,Cynthia Voltz,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
CA-2016-128867,Consumer,OFF-AR-10000380,Office Supplies,Art,Clay Ludtke,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
CA-2016-128867,Consumer,OFF-BI-10003981,Office Supplies,Binders,Clay Ludtke,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
CA-2014-115259,Consumer,OFF-FA-10000621,Office Supplies,Fasteners,Ryan Crowe,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
CA-2014-115259,Consumer,OFF-EN-10002600,Office Supplies,Envelopes,Ryan Crowe,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
CA-2014-115259,Consumer,OFF-PA-10004965,Office Supplies,Paper,Ryan Crowe,Xerox 1921,23.976,3,0.2,7.4925
CA-2014-115259,Consumer,OFF-EN-10002504,Office Supplies,Envelopes,Ryan Crowe,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
CA-2015-110457,Consumer,FUR-TA-10001768,Furniture,Tables,Dave Kipp,Hon Racetrack Conference Tables,787.53,3,0,165.3813
US-2015-136476,Corporate,OFF-BI-10003650,Office Supplies,Binders,Greg Guthrie,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
CA-2016-103730,Consumer,FUR-FU-10002157,Furniture,Furnishings,Steven Cartwright,Artistic Insta-Plaque,47.04,3,0,18.3456
CA-2016-103730,Consumer,OFF-BI-10003910,Office Supplies,Binders,Steven Cartwright,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878
CA-2016-103730,Consumer,OFF-ST-10000777,Office Supplies,Storage,Steven Cartwright,"Companion Letter/Legal File, Black",226.56,6,0,63.4368
CA-2016-103730,Consumer,OFF-EN-10002500,Office Supplies,Envelopes,Steven Cartwright,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0,51.759
CA-2016-103730,Consumer,TEC-PH-10003875,Technology,Phones,Steven Cartwright,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0,19.7316
US-2014-152030,Home Office,FUR-CH-10004063,Furniture,Chairs,Alan Dominguez,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
US-2014-134614,Consumer,FUR-TA-10004534,Furniture,Tables,Philip Fox,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
US-2017-107272,Consumer,OFF-BI-10003274,Office Supplies,Binders,Troy Staebel,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
US-2017-107272,Consumer,OFF-ST-10002974,Office Supplies,Storage,Troy Staebel,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
US-2016-125969,Home Office,FUR-CH-10001146,Furniture,Chairs,Lindsay Shagiari,"Global Task Chair, Black",81.424,2,0.2,-9.1602
US-2016-125969,Home Office,FUR-FU-10003773,Furniture,Furnishings,Lindsay Shagiari,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
US-2017-164147,Corporate,TEC-PH-10002293,Technology,Phones,Dorothy Wardle,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
US-2017-164147,Corporate,OFF-PA-10002377,Office Supplies,Paper,Dorothy Wardle,Xerox 1916,78.304,2,0.2,29.364
US-2017-164147,Corporate,OFF-FA-10002780,Office Supplies,Fasteners,Dorothy Wardle,Staples,21.456,9,0.2,6.9732
CA-2016-145583,Consumer,OFF-PA-10001804,Office Supplies,Paper,Lena Creighton,Xerox 195,20.04,3,0,9.6192
CA-2016-145583,Consumer,OFF-PA-10001736,Office Supplies,Paper,Lena Creighton,Xerox 1880,35.44,1,0,16.6568
CA-2016-145583,Consumer,OFF-AR-10001149,Office Supplies,Art,Lena Creighton,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456
CA-2016-145583,Consumer,OFF-FA-10002988,Office Supplies,Fasteners,Lena Creighton,Ideal Clamps,4.02,2,0,1.9698
CA-2016-145583,Consumer,OFF-BI-10004781,Office Supplies,Binders,Lena Creighton,GBC Wire Binding Strips,76.176,3,0.2,26.6616
CA-2016-145583,Consumer,OFF-SU-10001218,Office Supplies,Supplies,Lena Creighton,Fiskars Softgrip Scissors,65.88,6,0,18.4464
CA-2016-145583,Consumer,FUR-FU-10001706,Furniture,Furnishings,Lena Creighton,Longer-Life Soft White Bulbs,43.12,14,0,20.6976
CA-2016-110366,Corporate,FUR-FU-10004848,Furniture,Furnishings,Jonathan Doherty,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
CA-2017-106180,Corporate,OFF-AR-10000940,Office Supplies,Art,Sally Hughsby,Newell 343,8.82,3,0,2.3814
CA-2017-106180,Corporate,OFF-EN-10004030,Office Supplies,Envelopes,Sally Hughsby,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
CA-2017-106180,Corporate,OFF-PA-10004327,Office Supplies,Paper,Sally Hughsby,Xerox 1911,143.7,3,0,68.976
CA-2017-155376,Consumer,OFF-AP-10001058,Office Supplies,Appliances,Sandra Glassco,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518
CA-2015-110744,Consumer,OFF-ST-10003656,Office Supplies,Storage,Helen Andreada,Safco Industrial Wire Shelving,671.93,7,0,20.1579
CA-2014-110072,Home Office,FUR-FU-10000521,Furniture,Furnishings,Maureen Gastineau,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096
CA-2016-114489,Corporate,TEC-PH-10000215,Technology,Phones,Justin Ellison,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0,103.8015
CA-2016-114489,Corporate,TEC-PH-10001448,Technology,Phones,Justin Ellison,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988
CA-2016-114489,Corporate,FUR-CH-10000454,Furniture,Chairs,Justin Ellison,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552
CA-2016-114489,Corporate,OFF-BI-10002735,Office Supplies,Binders,Justin Ellison,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285
CA-2016-158834,Home Office,OFF-AP-10000326,Office Supplies,Appliances,Tamara Willingham,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766
CA-2016-158834,Home Office,TEC-PH-10001254,Technology,Phones,Tamara Willingham,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388
CA-2015-124919,Corporate,OFF-PA-10001950,Office Supplies,Paper,Stephanie Phelps,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.271
CA-2015-124919,Corporate,OFF-PA-10002254,Office Supplies,Paper,Stephanie Phelps,Xerox 1883,105.52,4,0,48.5392
CA-2015-124919,Corporate,OFF-ST-10001590,Office Supplies,Storage,Stephanie Phelps,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0,21.0288
CA-2015-118948,Home Office,OFF-AR-10001547,Office Supplies,Art,Neil Knudson,Newell 311,6.63,3,0,1.7901
CA-2014-104269,Consumer,FUR-CH-10004063,Furniture,Chairs,Dave Brooks,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
CA-2016-114104,Consumer,OFF-LA-10002475,Office Supplies,Labels,Nora Paige,Avery 519,14.62,2,0,6.8714
CA-2016-114104,Consumer,TEC-PH-10004536,Technology,Phones,Nora Paige,Avaya 5420 Digital phone,944.93,7,0,236.2325
CA-2016-162733,Consumer,OFF-PA-10002751,Office Supplies,Paper,Ted Trevino,Xerox 1920,5.98,1,0,2.691
CA-2015-119697,Consumer,TEC-AC-10003657,Technology,Accessories,Eric Murdock,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596
CA-2016-154508,Consumer,OFF-EN-10001990,Office Supplies,Envelopes,Ruben Dartt,Staple envelope,28.4,5,0,13.348
CA-2016-113817,Consumer,OFF-BI-10004002,Office Supplies,Binders,Max Jones,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688
CA-2014-139892,Consumer,OFF-AR-10004441,Office Supplies,Art,Becky Martin,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324
CA-2014-139892,Consumer,TEC-MA-10000822,Technology,Machines,Becky Martin,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992
CA-2014-139892,Consumer,OFF-ST-10000991,Office Supplies,Storage,Becky Martin,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347
CA-2014-139892,Consumer,FUR-CH-10004287,Furniture,Chairs,Becky Martin,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858
CA-2014-139892,Consumer,OFF-AR-10002656,Office Supplies,Art,Becky Martin,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136
CA-2014-139892,Consumer,OFF-AP-10002518,Office Supplies,Appliances,Becky Martin,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849
CA-2014-139892,Consumer,TEC-PH-10003931,Technology,Phones,Becky Martin,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,8.9985
CA-2014-118962,Consumer,OFF-PA-10000659,Office Supplies,Paper,Chad Sievert,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0,9.8418
CA-2014-118962,Consumer,OFF-PA-10001144,Office Supplies,Paper,Chad Sievert,Xerox 1913,110.96,2,0,53.2608
CA-2014-118962,Consumer,FUR-CH-10003817,Furniture,Chairs,Chad Sievert,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259
