RowID,OrderID,OrderDate,ShipDate,ShipMode,CustomeID,CustomeName
42,CA-2017-120999,09/10/17,09/15/17,Standard Class,LC-16930,Linda Cazamias
43,CA-2016-101343,07/17/16,07/22/16,Standard Class,RA-19885,Ruben Ausman
44,CA-2017-139619,09/19/17,09/23/17,Standard Class,ES-14080,Erin Smith
45,CA-2016-118255,03/11/16,03/13/16,First Class,ON-18715,Odella Nelson
46,CA-2016-118255,03/11/16,03/13/16,First Class,ON-18715,Odella Nelson
47,CA-2014-146703,10/20/14,10/25/14,Second Class,PO-18865,Patrick O'Donnell
48,CA-2016-169194,06/20/16,06/25/16,Standard Class,LH-16900,Lena Hernandez
49,CA-2016-169194,06/20/16,06/25/16,Standard Class,LH-16900,Lena Hernandez
50,CA-2015-115742,04/18/15,04/22/15,Standard Class,DP-13000,Darren Powers
51,CA-2015-115742,04/18/15,04/22/15,Standard Class,DP-13000,Darren Powers
52,CA-2015-115742,04/18/15,04/22/15,Standard Class,DP-13000,Darren Powers
53,CA-2015-115742,04/18/15,04/22/15,Standard Class,DP-13000,Darren Powers
54,CA-2016-105816,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari
55,CA-2016-105816,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari
56,CA-2016-111682,06/17/16,06/18/16,First Class,TB-21055,Ted Butterfield
57,CA-2016-111682,06/17/16,06/18/16,First Class,TB-21055,Ted Butterfield
58,CA-2016-111682,06/17/16,06/18/16,First Class,TB-21055,Ted Butterfield
59,CA-2016-111682,06/17/16,06/18/16,First Class,TB-21055,Ted Butterfield
60,CA-2016-111682,06/17/16,06/18/16,First Class,TB-21055,Ted Butterfield
61,CA-2016-111682,06/17/16,06/18/16,First Class,TB-21055,Ted Butterfield
62,CA-2016-111682,06/17/16,06/18/16,First Class,TB-21055,Ted Butterfield
63,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller
64,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller
65,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller
66,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller
67,US-2015-164175,04/30/15,05/05/15,Standard Class,PS-18970,Paul Stevenson
68,CA-2014-106376,12/05/14,12/10/14,Standard Class,BS-11590,Brendan Sweed
69,CA-2014-106376,12/05/14,12/10/14,Standard Class,BS-11590,Brendan Sweed
70,CA-2016-119823,06/04/16,06/06/16,First Class,KD-16270,Karen Daniels
71,CA-2016-106075,09/18/16,09/23/16,Standard Class,HM-14980,Henry MacAllister
72,CA-2017-114440,09/14/17,09/17/17,Second Class,TB-21520,Tracy Blumstein
73,US-2015-134026,04/26/15,05/02/15,Standard Class,JE-15745,Joel Eaton
74,US-2015-134026,04/26/15,05/02/15,Standard Class,JE-15745,Joel Eaton
75,US-2015-134026,04/26/15,05/02/15,Standard Class,JE-15745,Joel Eaton
76,US-2017-118038,12/09/17,12/11/17,First Class,KB-16600,Ken Brennan
77,US-2017-118038,12/09/17,12/11/17,First Class,KB-16600,Ken Brennan
78,US-2017-118038,12/09/17,12/11/17,First Class,KB-16600,Ken Brennan
79,US-2014-147606,11/26/14,12/01/14,Second Class,JE-15745,Joel Eaton
80,CA-2016-127208,06/12/16,06/15/16,First Class,SC-20770,Stewart Carmichael
81,CA-2016-127208,06/12/16,06/15/16,First Class,SC-20770,Stewart Carmichael
82,CA-2014-139451,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan
83,CA-2014-139451,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan
84,CA-2015-149734,09/03/15,09/08/15,Standard Class,JC-16105,Julie Creighton
85,US-2017-119662,11/13/17,11/16/17,First Class,CS-12400,Christopher Schild
86,CA-2017-140088,05/28/17,05/30/17,Second Class,PO-18865,Patrick O'Donnell
87,CA-2017-155558,10/26/17,11/02/17,Standard Class,PG-18895,Paul Gonzalez
88,CA-2017-155558,10/26/17,11/02/17,Standard Class,PG-18895,Paul Gonzalez
89,CA-2016-159695,04/05/16,04/10/16,Second Class,GM-14455,Gary Mitchum
90,CA-2016-109806,09/17/16,09/22/16,Standard Class,JS-15685,Jim Sink
91,CA-2016-109806,09/17/16,09/22/16,Standard Class,JS-15685,Jim Sink
92,CA-2016-109806,09/17/16,09/22/16,Standard Class,JS-15685,Jim Sink
93,CA-2015-149587,01/31/15,02/05/15,Second Class,KB-16315,Karl Braun
94,CA-2015-149587,01/31/15,02/05/15,Second Class,KB-16315,Karl Braun
95,CA-2015-149587,01/31/15,02/05/15,Second Class,KB-16315,Karl Braun
96,US-2017-109484,11/06/17,11/12/17,Standard Class,RB-19705,Roger Barcio
97,CA-2017-161018,11/09/17,11/11/17,Second Class,PN-18775,Parhena Norris
98,CA-2017-157833,06/17/17,06/20/17,First Class,KD-16345,Katherine Ducich
99,CA-2016-149223,09/06/16,09/11/16,Standard Class,ER-13855,Elpida Rittenbach
100,CA-2016-158568,08/29/16,09/02/16,Standard Class,RB-19465,Rick Bensley
101,CA-2016-158568,08/29/16,09/02/16,Standard Class,RB-19465,Rick Bensley
102,CA-2016-158568,08/29/16,09/02/16,Standard Class,RB-19465,Rick Bensley
103,CA-2016-129903,12/01/16,12/04/16,Second Class,GZ-14470,Gary Zandusky
104,US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo
105,US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo
106,US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo
107,CA-2017-119004,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin
108,CA-2017-119004,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin
109,CA-2017-119004,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin
110,CA-2015-129476,10/15/15,10/20/15,Standard Class,PA-19060,Pete Armstrong
111,CA-2017-146780,12/25/17,12/30/17,Standard Class,CV-12805,Cynthia Voltz
112,CA-2016-128867,11/03/16,11/10/16,Standard Class,CL-12565,Clay Ludtke
113,CA-2016-128867,11/03/16,11/10/16,Standard Class,CL-12565,Clay Ludtke
114,CA-2014-115259,08/25/14,08/27/14,Second Class,RC-19960,Ryan Crowe
115,CA-2014-115259,08/25/14,08/27/14,Second Class,RC-19960,Ryan Crowe
116,CA-2014-115259,08/25/14,08/27/14,Second Class,RC-19960,Ryan Crowe
117,CA-2014-115259,08/25/14,08/27/14,Second Class,RC-19960,Ryan Crowe
118,CA-2015-110457,03/02/15,03/06/15,Standard Class,DK-13090,Dave Kipp
119,US-2015-136476,04/05/15,04/10/15,Standard Class,GG-14650,Greg Guthrie
120,CA-2016-103730,06/12/16,06/15/16,First Class,SC-20725,Steven Cartwright
121,CA-2016-103730,06/12/16,06/15/16,First Class,SC-20725,Steven Cartwright
122,CA-2016-103730,06/12/16,06/15/16,First Class,SC-20725,Steven Cartwright
123,CA-2016-103730,06/12/16,06/15/16,First Class,SC-20725,Steven Cartwright
124,CA-2016-103730,06/12/16,06/15/16,First Class,SC-20725,Steven Cartwright
125,US-2014-152030,12/26/14,12/28/14,Second Class,AD-10180,Alan Dominguez
126,US-2014-134614,09/20/14,09/25/14,Standard Class,PF-19165,Philip Fox
127,US-2017-107272,11/05/17,11/12/17,Standard Class,TS-21610,Troy Staebel
128,US-2017-107272,11/05/17,11/12/17,Standard Class,TS-21610,Troy Staebel
129,US-2016-125969,11/06/16,11/10/16,Second Class,LS-16975,Lindsay Shagiari
130,US-2016-125969,11/06/16,11/10/16,Second Class,LS-16975,Lindsay Shagiari
131,US-2017-164147,02/02/17,02/05/17,First Class,DW-13585,Dorothy Wardle
132,US-2017-164147,02/02/17,02/05/17,First Class,DW-13585,Dorothy Wardle
133,US-2017-164147,02/02/17,02/05/17,First Class,DW-13585,Dorothy Wardle
134,CA-2016-145583,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton
135,CA-2016-145583,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton
136,CA-2016-145583,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton
137,CA-2016-145583,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton
138,CA-2016-145583,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton
139,CA-2016-145583,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton
140,CA-2016-145583,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton
141,CA-2016-110366,09/05/16,09/07/16,Second Class,JD-15895,Jonathan Doherty
142,CA-2017-106180,09/18/17,09/23/17,Standard Class,SH-19975,Sally Hughsby
143,CA-2017-106180,09/18/17,09/23/17,Standard Class,SH-19975,Sally Hughsby
144,CA-2017-106180,09/18/17,09/23/17,Standard Class,SH-19975,Sally Hughsby
145,CA-2017-155376,12/22/17,12/27/17,Standard Class,SG-20080,Sandra Glassco
146,CA-2015-110744,09/07/15,09/12/15,Standard Class,HA-14920,Helen Andreada
147,CA-2014-110072,10/22/14,10/28/14,Standard Class,MG-17680,Maureen Gastineau
148,CA-2016-114489,12/05/16,12/09/16,Standard Class,JE-16165,Justin Ellison
149,CA-2016-114489,12/05/16,12/09/16,Standard Class,JE-16165,Justin Ellison
150,CA-2016-114489,12/05/16,12/09/16,Standard Class,JE-16165,Justin Ellison
151,CA-2016-114489,12/05/16,12/09/16,Standard Class,JE-16165,Justin Ellison
152,CA-2016-158834,03/13/16,03/16/16,First Class,TW-21025,Tamara Willingham
153,CA-2016-158834,03/13/16,03/16/16,First Class,TW-21025,Tamara Willingham
154,CA-2015-124919,05/31/15,06/02/15,First Class,SP-20650,Stephanie Phelps
155,CA-2015-124919,05/31/15,06/02/15,First Class,SP-20650,Stephanie Phelps
156,CA-2015-124919,05/31/15,06/02/15,First Class,SP-20650,Stephanie Phelps
157,CA-2015-118948,05/28/15,06/03/15,Standard Class,NK-18490,Neil Knudson
158,CA-2014-104269,03/01/14,03/06/14,Second Class,DB-13060,Dave Brooks
159,CA-2016-114104,11/20/16,11/24/16,Standard Class,NP-18670,Nora Paige
160,CA-2016-114104,11/20/16,11/24/16,Standard Class,NP-18670,Nora Paige
161,CA-2016-162733,05/11/16,05/12/16,First Class,TT-21070,Ted Trevino
162,CA-2015-119697,12/28/15,12/31/15,Second Class,EM-13960,Eric Murdock
163,CA-2016-154508,11/16/16,11/20/16,Standard Class,RD-19900,Ruben Dartt
164,CA-2016-113817,11/07/16,11/11/16,Standard Class,MJ-17740,Max Jones
165,CA-2014-139892,09/08/14,09/12/14,Standard Class,BM-11140,Becky Martin
166,CA-2014-139892,09/08/14,09/12/14,Standard Class,BM-11140,Becky Martin
167,CA-2014-139892,09/08/14,09/12/14,Standard Class,BM-11140,Becky Martin
168,CA-2014-139892,09/08/14,09/12/14,Standard Class,BM-11140,Becky Martin
169,CA-2014-139892,09/08/14,09/12/14,Standard Class,BM-11140,Becky Martin
170,CA-2014-139892,09/08/14,09/12/14,Standard Class,BM-11140,Becky Martin
171,CA-2014-139892,09/08/14,09/12/14,Standard Class,BM-11140,Becky Martin
172,CA-2014-118962,08/05/14,08/09/14,Standard Class,CS-12130,Chad Sievert
173,CA-2014-118962,08/05/14,08/09/14,Standard Class,CS-12130,Chad Sievert
174,CA-2014-118962,08/05/14,08/09/14,Standard Class,CS-12130,Chad Sievert
175,US-2014-100853,09/14/14,09/19/14,Standard Class,JB-15400,Jennifer Braxton
176,US-2014-100853,09/14/14,09/19/14,Standard Class,JB-15400,Jennifer Braxton
177,US-2017-152366,04/21/17,04/25/17,Second Class,SJ-20500,Shirley Jackson
178,US-2015-101511,11/21/15,11/23/15,Second Class,JE-15745,Joel Eaton
179,US-2015-101511,11/21/15,11/23/15,Second Class,JE-15745,Joel Eaton
180,CA-2015-137225,12/15/15,12/19/15,Standard Class,JK-15640,Jim Kriz
181,CA-2014-166191,12/05/14,12/09/14,Second Class,DK-13150,David Kendrick
182,CA-2014-166191,12/05/14,12/09/14,Second Class,DK-13150,David Kendrick
183,CA-2014-158274,11/19/14,11/24/14,Second Class,RM-19675,Robert Marley
184,CA-2014-158274,11/19/14,11/24/14,Second Class,RM-19675,Robert Marley
185,CA-2014-158274,11/19/14,11/24/14,Second Class,RM-19675,Robert Marley
186,CA-2016-105018,11/28/16,12/02/16,Standard Class,SK-19990,Sally Knutson
187,CA-2014-123260,08/26/14,08/30/14,Standard Class,FM-14290,Frank Merwin
188,CA-2016-157000,07/16/16,07/22/16,Standard Class,AM-10360,Alice McCarthy
189,CA-2016-157000,07/16/16,07/22/16,Standard Class,AM-10360,Alice McCarthy
190,CA-2015-102281,10/12/15,10/14/15,First Class,MP-17470,Mark Packer
191,CA-2015-102281,10/12/15,10/14/15,First Class,MP-17470,Mark Packer
192,CA-2015-102281,10/12/15,10/14/15,First Class,MP-17470,Mark Packer
193,CA-2015-102281,10/12/15,10/14/15,First Class,MP-17470,Mark Packer
194,CA-2015-102281,10/12/15,10/14/15,First Class,MP-17470,Mark Packer
195,CA-2015-131457,10/31/15,11/06/15,Standard Class,MZ-17515,Mary Zewe
196,CA-2014-140004,03/21/14,03/25/14,Standard Class,CB-12025,Cassandra Brandow
197,CA-2014-140004,03/21/14,03/25/14,Standard Class,CB-12025,Cassandra Brandow
198,CA-2017-107720,11/06/17,11/13/17,Standard Class,VM-21685,Valerie Mitchum
199,US-2017-124303,07/06/17,07/13/17,Standard Class,FH-14365,Fred Hopkins
200,US-2017-124303,07/06/17,07/13/17,Standard Class,FH-14365,Fred Hopkins
201,CA-2017-105074,06/24/17,06/29/17,Standard Class,MB-17305,Maria Bertelson
202,CA-2014-133690,08/03/14,08/05/14,First Class,BS-11755,Bruce Stewart
203,CA-2014-133690,08/03/14,08/05/14,First Class,BS-11755,Bruce Stewart
204,US-2017-116701,12/17/17,12/21/17,Second Class,LC-17140,Logan Currie
205,CA-2017-126382,06/03/17,06/07/17,Standard Class,HK-14890,Heather Kirkland
206,CA-2017-108329,12/09/17,12/14/17,Standard Class,LE-16810,Laurel Elliston
207,CA-2017-135860,12/01/17,12/07/17,Standard Class,JH-15985,Joseph Holt
208,CA-2017-135860,12/01/17,12/07/17,Standard Class,JH-15985,Joseph Holt
209,CA-2017-135860,12/01/17,12/07/17,Standard Class,JH-15985,Joseph Holt
210,CA-2017-135860,12/01/17,12/07/17,Standard Class,JH-15985,Joseph Holt
211,CA-2017-135860,12/01/17,12/07/17,Standard Class,JH-15985,Joseph Holt
212,CA-2015-101007,02/09/15,02/13/15,Second Class,MS-17980,Michael Stewart
213,CA-2015-146262,01/02/15,01/09/15,Standard Class,VW-21775,Victoria Wilson
214,CA-2015-146262,01/02/15,01/09/15,Standard Class,VW-21775,Victoria Wilson
215,CA-2015-146262,01/02/15,01/09/15,Standard Class,VW-21775,Victoria Wilson
216,CA-2015-146262,01/02/15,01/09/15,Standard Class,VW-21775,Victoria Wilson
217,CA-2015-146262,01/02/15,01/09/15,Standard Class,VW-21775,Victoria Wilson
218,CA-2016-130162,10/28/16,11/01/16,Standard Class,JH-15910,Jonathan Howell
219,CA-2016-130162,10/28/16,11/01/16,Standard Class,JH-15910,Jonathan Howell
220,CA-2015-169397,12/24/15,12/27/15,First Class,JB-15925,Joni Blumstein
221,CA-2015-169397,12/24/15,12/27/15,First Class,JB-15925,Joni Blumstein
222,CA-2015-169397,12/24/15,12/27/15,First Class,JB-15925,Joni Blumstein
223,CA-2015-169397,12/24/15,12/27/15,First Class,JB-15925,Joni Blumstein
224,CA-2015-169397,12/24/15,12/27/15,First Class,JB-15925,Joni Blumstein
225,CA-2015-169397,12/24/15,12/27/15,First Class,JB-15925,Joni Blumstein
226,CA-2015-163055,08/09/15,08/16/15,Standard Class,DS-13180,David Smith
227,CA-2015-163055,08/09/15,08/16/15,Standard Class,DS-13180,David Smith
228,CA-2015-163055,08/09/15,08/16/15,Standard Class,DS-13180,David Smith
229,US-2015-145436,02/28/15,03/04/15,Standard Class,VD-21670,Valerie Dominguez
230,US-2015-145436,02/28/15,03/04/15,Standard Class,VD-21670,Valerie Dominguez
231,US-2014-156216,09/13/14,09/17/14,Standard Class,EA-14035,Erin Ashbrook
232,US-2017-100930,04/07/17,04/12/17,Standard Class,CS-12400,Christopher Schild
233,US-2017-100930,04/07/17,04/12/17,Standard Class,CS-12400,Christopher Schild
234,US-2017-100930,04/07/17,04/12/17,Standard Class,CS-12400,Christopher Schild
235,US-2017-100930,04/07/17,04/12/17,Standard Class,CS-12400,Christopher Schild
236,US-2017-100930,04/07/17,04/12/17,Standard Class,CS-12400,Christopher Schild
237,CA-2017-160514,11/12/17,11/16/17,Standard Class,DB-13120,David Bremer
238,CA-2016-157749,06/04/16,06/09/16,Second Class,KL-16645,Ken Lonsdale
239,CA-2016-157749,06/04/16,06/09/16,Second Class,KL-16645,Ken Lonsdale
240,CA-2016-157749,06/04/16,06/09/16,Second Class,KL-16645,Ken Lonsdale
241,CA-2016-157749,06/04/16,06/09/16,Second Class,KL-16645,Ken Lonsdale
242,CA-2016-157749,06/04/16,06/09/16,Second Class,KL-16645,Ken Lonsdale
243,CA-2016-157749,06/04/16,06/09/16,Second Class,KL-16645,Ken Lonsdale
244,CA-2016-157749,06/04/16,06/09/16,Second Class,KL-16645,Ken Lonsdale
245,CA-2014-131926,06/01/14,06/06/14,Second Class,DW-13480,Dianna Wilson
246,CA-2014-131926,06/01/14,06/06/14,Second Class,DW-13480,Dianna Wilson
247,CA-2014-131926,06/01/14,06/06/14,Second Class,DW-13480,Dianna Wilson
248,CA-2014-131926,06/01/14,06/06/14,Second Class,DW-13480,Dianna Wilson
249,CA-2014-131926,06/01/14,06/06/14,Second Class,DW-13480,Dianna Wilson
250,CA-2016-154739,12/10/16,12/15/16,Second Class,LH-17155,Logan Haushalter
251,CA-2016-145625,09/11/16,09/17/16,Standard Class,KC-16540,Kelly Collister
252,CA-2016-145625,09/11/16,09/17/16,Standard Class,KC-16540,Kelly Collister
253,CA-2016-146941,12/10/16,12/13/16,First Class,DL-13315,Delfina Latchford
254,CA-2016-146941,12/10/16,12/13/16,First Class,DL-13315,Delfina Latchford
255,US-2015-159982,11/28/15,12/04/15,Standard Class,DR-12880,Dan Reichenbach
256,US-2015-159982,11/28/15,12/04/15,Standard Class,DR-12880,Dan Reichenbach
257,US-2015-159982,11/28/15,12/04/15,Standard Class,DR-12880,Dan Reichenbach
258,US-2015-159982,11/28/15,12/04/15,Standard Class,DR-12880,Dan Reichenbach
259,CA-2017-163139,12/01/17,12/03/17,Second Class,CC-12670,Craig Carreira
260,CA-2017-163139,12/01/17,12/03/17,Second Class,CC-12670,Craig Carreira
261,CA-2017-163139,12/01/17,12/03/17,Second Class,CC-12670,Craig Carreira
262,US-2017-155299,06/08/17,06/12/17,Standard Class,Dl-13600,Dorris liebe
263,US-2014-106992,09/19/14,09/21/14,Second Class,SB-20290,Sean Braxton
264,US-2014-106992,09/19/14,09/21/14,Second Class,SB-20290,Sean Braxton
265,CA-2016-125318,06/06/16,06/13/16,Standard Class,RC-19825,Roy Collins
266,CA-2015-155040,11/10/15,11/15/15,Standard Class,AH-10210,Alan Hwang
267,CA-2017-136826,06/16/17,06/20/17,Standard Class,CB-12535,Claudia Bergmann
268,CA-2016-111010,01/22/16,01/28/16,Standard Class,PG-18895,Paul Gonzalez
269,US-2017-145366,12/09/17,12/13/17,Standard Class,CA-12310,Christine Abelman
270,US-2017-145366,12/09/17,12/13/17,Standard Class,CA-12310,Christine Abelman
271,CA-2017-163979,12/28/17,01/02/18,Second Class,KH-16690,Kristen Hastings
272,CA-2015-155334,07/30/15,07/31/15,First Class,HA-14920,Helen Andreada
273,CA-2015-155334,07/30/15,07/31/15,First Class,HA-14920,Helen Andreada
274,CA-2015-155334,07/30/15,07/31/15,First Class,HA-14920,Helen Andreada
275,CA-2017-118136,09/16/17,09/17/17,First Class,BB-10990,Barry Blumstein
276,CA-2017-118136,09/16/17,09/17/17,First Class,BB-10990,Barry Blumstein
277,CA-2017-132976,10/13/17,10/17/17,Standard Class,AG-10495,Andrew Gjertsen
278,CA-2017-132976,10/13/17,10/17/17,Standard Class,AG-10495,Andrew Gjertsen
279,CA-2017-132976,10/13/17,10/17/17,Standard Class,AG-10495,Andrew Gjertsen
280,CA-2017-132976,10/13/17,10/17/17,Standard Class,AG-10495,Andrew Gjertsen
281,US-2015-161991,09/26/15,09/28/15,Second Class,SC-20725,Steven Cartwright
282,US-2015-161991,09/26/15,09/28/15,Second Class,SC-20725,Steven Cartwright
283,CA-2015-130890,11/02/15,11/06/15,Standard Class,JO-15280,Jas O'Carroll
284,CA-2015-130883,09/26/15,10/02/15,Standard Class,TB-21520,Tracy Blumstein
285,CA-2015-130883,09/26/15,10/02/15,Standard Class,TB-21520,Tracy Blumstein
286,CA-2015-130883,09/26/15,10/02/15,Standard Class,TB-21520,Tracy Blumstein
287,CA-2016-112697,12/18/16,12/20/16,Second Class,AH-10195,Alan Haines
288,CA-2016-112697,12/18/16,12/20/16,Second Class,AH-10195,Alan Haines
289,CA-2016-112697,12/18/16,12/20/16,Second Class,AH-10195,Alan Haines
290,CA-2016-110772,11/20/16,11/24/16,Second Class,NZ-18565,Nick Zandusky
291,CA-2016-110772,11/20/16,11/24/16,Second Class,NZ-18565,Nick Zandusky
292,CA-2016-110772,11/20/16,11/24/16,Second Class,NZ-18565,Nick Zandusky
293,CA-2016-110772,11/20/16,11/24/16,Second Class,NZ-18565,Nick Zandusky
294,CA-2014-111451,12/26/14,12/28/14,First Class,KL-16555,Kelly Lampkin
295,CA-2014-111451,12/26/14,12/28/14,First Class,KL-16555,Kelly Lampkin
296,CA-2014-111451,12/26/14,12/28/14,First Class,KL-16555,Kelly Lampkin
297,CA-2014-111451,12/26/14,12/28/14,First Class,KL-16555,Kelly Lampkin
298,CA-2014-111451,12/26/14,12/28/14,First Class,KL-16555,Kelly Lampkin
299,CA-2016-142545,10/28/16,11/03/16,Standard Class,JD-15895,Jonathan Doherty
300,CA-2016-142545,10/28/16,11/03/16,Standard Class,JD-15895,Jonathan Doherty
301,CA-2016-142545,10/28/16,11/03/16,Standard Class,JD-15895,Jonathan Doherty
302,CA-2016-142545,10/28/16,11/03/16,Standard Class,JD-15895,Jonathan Doherty
303,CA-2016-142545,10/28/16,11/03/16,Standard Class,JD-15895,Jonathan Doherty
304,US-2017-152380,11/19/17,11/23/17,Standard Class,JH-15910,Jonathan Howell
305,CA-2015-144253,05/04/15,05/09/15,Second Class,AS-10225,Alan Schoenberger
306,CA-2014-130960,12/30/14,01/04/15,Standard Class,KB-16600,Ken Brennan
307,CA-2014-111003,06/01/14,06/06/14,Standard Class,CR-12625,Corey Roper
308,CA-2014-111003,06/01/14,06/06/14,Standard Class,CR-12625,Corey Roper
309,CA-2017-126774,04/15/17,04/17/17,First Class,SH-20395,Shahid Hopkins
310,CA-2016-142902,09/12/16,09/14/16,Second Class,BP-11185,Ben Peterman
311,CA-2016-142902,09/12/16,09/14/16,Second Class,BP-11185,Ben Peterman
312,CA-2016-142902,09/12/16,09/14/16,Second Class,BP-11185,Ben Peterman
313,CA-2016-142902,09/12/16,09/14/16,Second Class,BP-11185,Ben Peterman
314,CA-2014-120887,09/27/14,10/03/14,Standard Class,TS-21205,Thomas Seio
315,CA-2014-167850,08/09/14,08/16/14,Standard Class,AG-10525,Andy Gerbode
316,CA-2014-167850,08/09/14,08/16/14,Standard Class,AG-10525,Andy Gerbode
317,CA-2014-164259,12/28/14,12/30/14,First Class,SP-20860,Sung Pak
318,CA-2014-164973,11/04/14,11/09/14,Standard Class,NM-18445,Nathan Mautz
319,CA-2014-164973,11/04/14,11/09/14,Standard Class,NM-18445,Nathan Mautz
320,CA-2014-164973,11/04/14,11/09/14,Standard Class,NM-18445,Nathan Mautz
321,CA-2014-164973,11/04/14,11/09/14,Standard Class,NM-18445,Nathan Mautz
322,CA-2014-164973,11/04/14,11/09/14,Standard Class,NM-18445,Nathan Mautz
323,CA-2014-156601,09/19/14,09/24/14,Standard Class,FA-14230,Frank Atkinson
324,CA-2016-162138,04/23/16,04/27/16,Standard Class,GK-14620,Grace Kelly
